SEGRADES,success_binary,engagement_count,SCCHOICE,SPUBCHOIX,EDCPUB,homework_intensity,school_involvement,communication_index,enrichment_count,FHHELP,FHCHECKX,FSVOL,FSPTMTNG,FSMTNG,TTLHHINC,PARGRADEX,CSEX,ALLGRADEX,NUMSIBSX,child_age,SEENJOY,HDHEALTH
3,0,6,2,2,1,2.3333333333333335,1.5,2,3,1,3,2,1,1,8,5,1,14,2,18,2,1
1,1,7,1,3,1,3.3333333333333335,1,2,4,5,1,1,1,1,5,5,2,14,2,17,1,1
1,1,4,1,1,1,3,1.5,1.3333333333333333,2,1,4,2,1,1,7,4,2,11,0,15,2,2
1,1,3,1,1,1,2.6666666666666665,1.75,1.3333333333333333,2,1,4,2,2,1,10,5,1,11,1,14,2,2
2,1,4,1,3,1,2,1.75,1,1,1,2,2,2,1,11,4,2,12,1,15,1,2
2,1,8,1,2,1,4,1,1,5,5,4,1,1,1,1,4,2,10,0,15,1,4
3,0,7,1,1,1,2.6666666666666665,1.25,1.3333333333333333,6,1,3,1,1,1,11,5,2,11,3,14,3,1
1,1,8,1,1,2,1.3333333333333333,1,1,6,NA,NA,1,1,1,10,5,2,6,1,9,1,1
3,0,7,1,2,1,3.3333333333333335,1.25,1.6666666666666667,4,3,4,1,1,1,6,4,1,7,2,11,2,2
1,1,3,2,1,1,2.3333333333333335,1.75,1.3333333333333333,5,1,4,2,2,1,12,4,2,4,2,6,1,1
2,1,4,2,1,1,1.3333333333333333,1.75,1.6666666666666667,4,NA,NA,2,2,1,10,4,1,8,1,11,2,1
1,1,5,1,3,2,3.3333333333333335,1.5,1.3333333333333333,2,2,4,2,1,1,11,4,1,13,0,16,2,1
2,1,5,1,1,1,3,1.5,1,1,2,4,1,2,1,9,5,1,14,2,17,3,3
1,1,1,2,2,1,3,2,2.3333333333333335,2,5,2,2,2,2,7,2,1,12,2,15,2,1
2,1,3,2,3,1,2,1.75,2.6666666666666665,4,1,3,2,2,1,4,2,1,13,1,17,3,3
2,1,5,1,1,1,3.3333333333333335,1.25,1,5,3,4,1,1,1,3,2,1,7,1,10,1,1
2,1,1,1,1,1,2.3333333333333335,2,1.3333333333333333,2,1,4,2,2,2,6,3,2,10,3,13,2,2
1,1,1,1,3,1,1.3333333333333333,2,2,5,NA,NA,2,2,2,3,4,2,15,0,20,2,2
5,NA,6,2,3,1,2.6666666666666665,1.25,1.6666666666666667,4,2,4,1,1,1,8,5,1,2,0,7,1,1
1,1,8,1,2,2,3,1,1,6,1,4,1,1,1,6,4,2,11,1,14,1,1
1,1,6,1,3,1,3.3333333333333335,1.25,1,7,3,4,1,1,1,3,5,1,4,2,7,2,2
2,1,4,1,2,1,2.3333333333333335,1.5,2.3333333333333335,1,2,3,2,1,1,4,2,1,14,2,17,2,2
1,1,6,1,3,1,3.3333333333333335,1.25,1,6,3,4,1,1,1,11,5,2,7,1,10,2,2
2,1,0,1,2,1,2.6666666666666665,2,2,1,2,3,2,2,2,6,3,1,6,0,9,2,3
3,0,3,1,1,1,1.6666666666666667,1.5,2,3,1,3,2,1,1,6,4,1,5,1,9,2,2
2,1,2,1,3,1,1.6666666666666667,1.75,1.6666666666666667,4,1,3,2,2,1,6,3,1,15,1,18,2,1
1,1,4,1,3,2,1.6666666666666667,1.5,1.6666666666666667,4,1,2,1,2,1,6,3,2,12,0,15,1,1
2,1,7,2,2,1,3.3333333333333335,1.25,1,6,3,3,1,1,1,4,4,1,7,1,11,1,1
2,1,6,2,2,1,4.333333333333333,1.25,1,1,5,4,1,1,1,10,3,2,13,2,16,1,1
2,1,5,1,1,1,2.6666666666666665,1.5,1,5,2,3,2,1,1,3,2,1,13,2,16,2,2
2,1,1,2,3,1,2.3333333333333335,2,1.3333333333333333,5,1,3,2,2,2,8,2,1,13,0,16,1,1
1,1,4,1,3,1,3.3333333333333335,1.75,1.3333333333333333,2,5,1,2,2,1,9,4,2,10,0,13,1,1
1,1,6,2,3,1,2,1.25,1,5,1,4,1,1,1,8,5,1,5,1,8,1,1
5,NA,3,2,2,1,3,1.75,1,5,3,3,2,2,1,9,3,2,8,0,10,2,2
2,1,5,2,2,1,3,1.25,1.3333333333333333,6,1,4,2,1,1,2,1,2,8,0,11,1,1
5,NA,3,1,1,1,3.3333333333333335,1.75,1.3333333333333333,5,3,4,2,2,1,4,4,2,4,1,7,1,1
3,0,5,2,2,1,2.6666666666666665,1.75,2.6666666666666665,4,2,4,2,2,1,2,3,2,13,2,16,3,2
5,NA,6,1,1,1,1.3333333333333333,1.25,1.3333333333333333,6,NA,NA,1,1,1,9,2,2,6,0,9,2,1
2,1,5,1,1,1,3,1.5,2,4,2,4,2,1,1,9,4,1,7,1,10,2,1
1,1,2,1,2,1,2.6666666666666665,1.75,1.3333333333333333,3,2,4,2,2,1,10,5,1,8,1,12,1,3
