SEGRADES,SEGRADEQ,SEENJOY,SEABSNT,SCCHOICE,SPUBCHOIX,SCONSIDR,EDCPUB,SCHLHRSWK,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,CDOBMM,CDOBYY,CSEX,ALLGRADEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,DSBLTY,HHPARN19X,NUMSIBSX,PARGRADEX,RACEETH,CENREG,ZIPLOCL,HDHEALTH,SEFUTUREX,INTACC,EINTNET,success_binary,engagement_count,homework_intensity,school_involvement,communication_index,enrichment_count,has_choice,child_age
1,2,2,1,2,2,2,1,4,3,6,1,1,1,4,2,1,2,1,2,2,2,2,2,6,2,1,2,2,2,2,3,1,2,2,2,1,1,1,4,2,1,3,2004,2,12,2,5,1,1,2,1,5,NA,40,1,9,1,1,2,1,2,5,1,1,22,1,5,1,4,1,2,3,1.75,2,3,0,15
1,1,3,1,2,2,1,1,4,3,4,1,1,1,2,5,1,1,1,1,2,1,2,1,4,2,2,2,2,2,2,2,1,1,2,1,1,2,1,4,2,2,1,2001,2,15,2,3,1,1,2,1,2,40,59,1,3,1,1,2,1,0,2,1,3,42,1,6,1,3,1,6,3.3333333333333335,1.25,2,4,0,18
1,1,3,1,2,2,1,1,4,3,12,1,1,1,4,2,1,1,1,1,1,1,2,1,5,1,1,3,1,2,3,3,1,1,1,1,1,1,1,5,2,2,6,2005,2,11,2,4,1,1,2,1,1,50,47,1,8,1,1,2,1,0,5,5,2,21,1,6,1,4,1,7,3,1.25,1.6666666666666667,5,0,14
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,5,1,2,1,2008,1,8,2,4,1,1,2,1,5,NA,48,1,6,2,2,2,1,1,5,1,2,41,1,6,1,NA,NA,0,NA,NA,NA,6,0,11
1,1,1,1,2,2,2,1,2,4,1,1,2,1,4,4,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,2,4,2009,2,7,2,5,1,1,2,1,1,40,44,1,9,2,1,2,1,2,3,1,3,21,2,4,1,4,1,3,4,1.75,1,3,0,10
2,1,1,1,1,1,2,1,4,4,10,1,1,1,3,2,2,2,1,1,1,2,2,2,4,2,1,2,1,1,1,1,2,2,1,1,1,1,1,3,1,2,4,2002,1,14,6,2,1,1,2,2,1,40,47,2,4,1,1,1,2,0,2,2,4,21,1,6,3,4,1,3,3,1.5,1.6666666666666667,4,1,17
1,1,2,2,1,3,2,1,3,4,12,1,2,1,2,1,1,2,1,2,2,1,2,2,5,2,1,2,1,2,2,1,1,2,2,2,2,1,1,7,1,2,3,2001,1,15,2,3,1,2,2,1,1,42,31,1,8,1,1,2,1,0,5,2,2,12,1,5,1,4,1,3,2.3333333333333335,1.75,1.6666666666666667,2,1,18
1,1,1,1,2,2,2,1,4,4,10,1,1,1,4,1,1,1,1,2,1,1,2,1,10,1,1,2,2,2,2,2,2,1,1,1,1,1,1,7,2,2,8,2004,2,12,2,4,2,1,1,1,1,40,43,1,10,1,1,1,1,1,3,5,4,21,1,5,1,4,1,6,3,1.5,1.6666666666666667,4,0,15
1,1,1,3,1,2,1,2,4,3,5,1,1,1,3,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,1,1,2003,1,13,6,5,1,1,2,1,1,30,36,1,8,1,1,2,1,2,4,1,4,11,3,5,1,4,1,7,2.3333333333333335,1,1,5,1,16
1,1,3,1,2,2,1,2,4,4,21,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,5,2,2,7,2004,2,12,2,4,1,1,2,1,7,NA,55,1,5,1,1,2,1,1,3,5,2,22,1,5,1,4,1,1,2,1.75,1.3333333333333333,0,0,15
2,1,1,1,1,3,1,2,4,4,2,1,1,1,4,4,2,2,1,2,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2012,2,4,2,4,2,1,1,3,1,60,38,2,11,1,1,2,3,0,3,3,3,21,1,6,1,4,1,2,4,1.75,1,7,1,7
2,2,2,1,1,1,1,1,4,3,5,2,2,1,1,5,1,1,1,2,2,2,2,1,8,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,2,10,2002,1,13,2,6,1,1,1,1,1,50,46,1,8,1,2,2,1,3,5,1,2,21,2,6,1,4,1,4,3,1.5,1,4,1,17
5,1,1,1,2,2,1,1,3,4,5,1,1,1,4,4,1,1,1,1,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7,1,1,1,2013,1,3,2,4,2,1,1,1,1,40,37,1,11,1,1,2,1,1,5,1,2,11,1,5,1,4,NA,5,4,1.25,1,6,0,6
2,3,1,1,2,3,2,1,4,2,6,3,3,1,4,2,1,1,1,2,1,1,2,2,3,1,1,1,3,2,2,2,1,1,2,1,2,1,2,4,2,2,12,2011,2,4,3,4,1,1,2,5,5,NA,36,2,2,1,3,2,2,1,1,3,3,21,2,5,1,4,1,5,2.6666666666666665,1.5,1.6666666666666667,3,0,8
2,3,3,1,1,2,2,1,4,3,3,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,1,2,4,3,1,2,2,2,2,1,1,2,7,2,2,5,2003,1,13,5,3,1,1,2,1,2,45,55,1,7,2,1,2,1,0,4,1,4,13,1,5,1,4,1,6,2.6666666666666665,1.5,1.3333333333333333,1,1,16
2,3,2,1,1,2,2,1,4,2,10,1,1,1,3,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,2,2,4,2003,1,13,2,2,1,1,2,5,1,20,48,2,2,1,1,2,2,0,3,5,2,21,1,3,1,2,1,2,2,1.75,1,4,1,16
1,1,3,2,2,2,2,1,4,4,12,2,2,1,3,4,1,2,1,2,1,1,2,1,2,1,1,2,3,3,2,4,1,2,1,2,1,1,1,4,2,2,3,2009,2,10,2,4,1,1,2,1,3,NA,42,1,9,1,1,1,1,1,5,1,1,21,1,6,1,4,1,5,3.6666666666666665,1.75,2,3,0,10
1,2,1,1,1,2,2,1,4,4,12,1,2,1,4,3,1,1,1,1,2,2,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,7,1,1,9,2008,2,7,2,4,2,1,1,1,1,45,65,1,7,2,2,2,1,1,5,3,2,11,1,6,1,4,1,5,3.6666666666666665,1.25,1,6,1,11
2,1,1,1,1,1,2,1,4,3,5,1,1,1,4,3,1,2,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,12,2007,1,8,2,2,1,1,2,5,7,NA,44,2,3,2,2,1,2,0,3,2,2,12,1,4,1,4,1,5,3.3333333333333335,1.5,1,7,1,12
